"Substrate","SMILES"
"acetyl-coa","CC(O)=O"
"methylcrotonyl-coa","C/C=C(C(O)=O)\C"
"N-CH3-anthraniloyl-coa","OC(C1=CC=CC=C1NC)=O"
"phytanoyl-coa","CC(CCCC(CCCC(CCCC(CC(O)=O)C)C)C)C"
"oleoyl-coa","CCCCCCCC/C=C\CCCCCCCC(O)=O"
"myristoyl-coa","CCCCCCCCCCCCCC(O)=O"
"decanoyl-coa","CCCCCCCCCC(O)=O"
"hexanoyl-coa","CCCCCC(O)=O"
"benzoyl-coa","OC(C1=CC=CC=C1)=O"
"coumaroyl-coa","OC(/C=C/C1=CC=C(O)C=C1)=O"
"phenylacetyl-coa","OC(CC1=CC=CC=C1)=O"
"feruloyl-coa","COC1=CC(/C=C/C(O)=O)=CC=C1O"
"isoferuloyl-coa","OC1=CC(/C=C/C(O)=O)=CC=C1OC"
"cinnamoyl-coa","O=C(O)/C=C/C1=CC=CC=C1"
"2-chlorophenylacetyl-coa","O=C(O)CC1=CC=CC=C1Cl"
"2-furoyl-coa","O=C(O)C1=CC=CO1"
"indole-6-carboxylyl-coa","O=C(C1=CC2=C(C=C1)C=CN2)O"
"malonyl-coa","O=C(O)CC(O)=O"
"caffeoyl-coa","OC1=CC(/C=C/C(O)=O)=CC=C1O"
"acetoacetyl-coa","O=C(CC(O)=O)C"
"isovaleryl-coa","O=C(O)CC(C)C"
"nonanoyl-SNAC","CCCCCCCCC(O)=O"
"heptanoyl-SNAC","CCCCCCC(O)=O"
"crotonoyl-coa","C/C=C/C(O)=O"
"isobutyryl-coa","CC(C(O)=O)C"
"octanoyl-coa","CCCCCCCC(O)=O"
"lauroyl-coa","CCCCCCCCCCCC(O)=O"
"palmitoyl-coa","CCCCCCCCCCCCCCCC(O)=O"
"stearoyl-coa","CCCCCCCCCCCCCCCCCC(O)=O"
"arachidoyl-coa","CCCCC/C=C/C/C=C/C/C=C/C/C=C/CCCC(O)=O"
"butyryl-coa","CCCC(O)=O"
"behenoyl-coa","O=C(O)CCCCCCCCCCCCCCCCCCCCC"
"anthraniloyl-coa","C1=CC=C(C(=C1)C(=O)O)N"
"eicosanoyl-coa","CCCCCCCCCCCCCCCCCCCC(O)=O"
"cyclohexanoyl-coa","OC(C1CCCCC1)=O"
"ethylmalonyl-coa","OC(C(CC)C(O)=O)=O"
"methylmalonyl-coa","CC(C(O)=O)C(O)=O"
"adipoyl-coa","OC(CCCCC(O)=O)=O"
"heptadecanoyl-coa","CCCCCCCCCCCCCCCCC(O)=O"
"HMG-coa","O=C(CC(C)(CC(O)=O)O)O"
"4-fluorophenylacetyl-coa","C1=CC(=CC=C1CC(=O)O)F"
"4-fluorobenzoyl-coa","C1=CC(=CC=C1C(=O)O)F"
"3-fluorobenzoyl-coa","C1=CC(=CC(=C1)F)C(=O)O"
"nicotinyl-coa","C1=CC(=CN=C1)C(=O)O"
"tiglyl-coa","O=C(O)/C(=C/C)C"
"beta-hydroxybutyryl-coa","O=C(O)CC(O)C"
"1H-Pyrazole-3-carboxylyl-coa","C1=C(NN=C1)C(=O)O"
"5-Methylisoxazole-3-carboxylyl-coa","CC1=CC(=NO1)C(=O)O"
"thiazole-4-carboxylyl-coa","C1=C(N=CS1)C(=O)O"
"piperidine-4-carboxylyl-coa","C1CNCCC1C(=O)O"
"1-aminocyclopropanecarboxylyl-coa","C1CC1(C(=O)O)N"
"1-aminocyclopentanecarboxylyl-coa","C1CCC(C1)(C(=O)O)N"
"4-pentynoyl-coa","C#CCCC(=O)O"
"6-heptynoyl-coa","C#CCCCCC(=O)O"
"cyclopropanecarboxylyl-coa","C1CC1C(=O)O"
"cyclohexanecarboxylyl-coa","C1CCC(CC1)C(=O)O"
"cycloheptanecarboxylyl-coa","C1CCCC(CC1)C(=O)O"
"trans-2-Phenylcyclopropane-1-carboxylyl-coa","C1C(C1C(=O)O)C2=CC=CC=C2"
"3,4-methylenedioxycinnamoyl-coa","C1OC2=C(O1)C=C(C=C2)C=CC(=O)O"
"2-amino-5-hydroxybenzoyl-coa","NC1=CC=C(O)C=C1C(O)=O"
"4-cyclopentyl-4-oxobutyryl-coa","C1CCC(C1)C(=O)CCC(=O)O"
"3-methylbenzofuran-2-carboxylyl-coa","CC1=C(OC2=CC=CC=C12)C(=O)O"
"2-amino-5-chlorobenzoyl-coa","C1=CC(=C(C=C1Cl)C(=O)O)N"
"4-cyclohexyl-4-oxobutyryl-coa","C1CCC(CC1)C(=O)CCC(=O)O"
