JGI Portal Name	Strain	T3PKS hits	NCBI taxid	Superkingdom	Phylum	Class	Order	Family	Genus	Species	Reference (Pubmed IDs)
Aalte1	Alternaria alternata BMP0270	1	5599	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria alternata	NA
Aaoar1	Aaosphaeria arxii CBS 175.79 v1.0	0	1450171	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Aaosphaeria	Aaosphaeria arxii	32206138
Abobi1	Abortiporus biennis CCBS 521 v1.0	0	137743	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Podoscyphaceae	Abortiporus	Abortiporus biennis	NA
Abobie1	Abortiporus biennis CIRM-BRFM 1778 v1.0	0	137743	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Podoscyphaceae	Abortiporus	Abortiporus biennis	33538380
Abscae1	Absidia caerulea NRRL1315 v1.0	0	90261	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia caerulea	NA
Absrep1	Absidia repens NRRL 1336 v1.0	0	90262	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia repens	28481340
Acain1	Acaromyces ingoldii MCA 4198 v1.0	0	215250	Eukaryota	Basidiomycota	Exobasidiomycetes	Exobasidiales	Cryptobasidiaceae	Acaromyces	Acaromyces ingoldii	29771364
Acastr1	Acarospora strigata CBS 132363	1	1307806	Eukaryota	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	Acarospora	Acarospora strigata	23557360
Acema1	Acephala macrosclerotiorum EW76-UTF0540 v1.0	1	886606	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Mollisiaceae	Acephala	Acephala macrosclerotiorum	33046698
Achstr1	Achaetomium strumarium CBS333.67 v1.0	1	79814	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium strumarium	NA
Aciaci1	Acidothrix acidophila CBS 136259 v1.0	1	1442179	Eukaryota	Ascomycota	Sordariomycetes	NA	Amplistromataceae	Acidothrix	Acidothrix acidophila	NA
Aciri1_iso	Acidomyces richmondensis BFW	0	245562	Eukaryota	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Acidomyces	Acidomyces sp. 'richmondensis'	26973616
Aciri1_meta	Acidomyces richmondensis BFW	0	245562	Eukaryota	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Acidomyces	Acidomyces sp. 'richmondensis'	26973616
Acral2	Acremonium alcalophilum v2.0	2	591952	Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Sodiomyces	Sodiomyces alcalophilus	NA
Acrchr1	Acremonium chrysogenum ATCC 11550	0	857340	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	NA	Acremonium	Acremonium chrysogenum	25291769
AcreTS7_1	Emericellopsis sp. TS7 v1.0	1	2614577	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	NA	Emericellopsis	Emericellopsis atlantica	34372938
Acrst1	Acremonium strictum DS1bioAY4a v1.0	1	5046	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Sarocladiaceae	Sarocladium	Sarocladium strictum	NA
Agabi_varbisH97_2	Agaricus bisporus var bisporus (H97) v2.0	0	936046	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bisporus	23045686
Agabi_varbur_1	Agaricus bisporus var. burnettii JB137-S8	0	597362	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bisporus	23045686
Agahy1	Agaricostilbum hyphaenes  ATCC MYA-4628 v1.0	0	44565	Eukaryota	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Agaricostilbaceae	Sterigmatomyces	Sterigmatomyces hyphaenes	NA
Agrped1	Agrocybe pediades AH 40210 v1.0	0	84607	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe pediades	33211093
Agrpra2	Agrocybe praecox OKM6292 v1.0	0	71668	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe praecox	NA
Alalt1	Alternaria alternata ATCC11680	1	5599	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria alternata	NA
Alalte1	Alternaria alternata ATCC66891	1	5599	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria alternata	NA
Albpec1	Albatrellus peckianus DAOM 52321 v1.0	0	80572	Eukaryota	Basidiomycota	Agaricomycetes	Russulales	Albatrellaceae	Albatrellus	Albatrellus peckianus	NA
Albra1	Alternaria brassicicola ATCC96836	1	622360	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria brassicicola	NA
Alikh1	Aliquandostipite khaoyaiensis CBS 118232 v1.0	0	112102	Eukaryota	Ascomycota	Dothideomycetes	Jahnulales	Aliquandostipitaceae	Aliquandostipite	Aliquandostipite khaoyaiensis	NA
Allma1	Allomyces macrogynus ATCC 38327	0	578462	Eukaryota	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Allomyces	Allomyces macrogynus	NA
Altal1	Alternaria alternata SRC1lrK2f v1.0	1	5599	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria alternata	27434633
Altalt1	Alternaria alternata MPI-PUGE-AT-0064 v1.0	1	5599	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria alternata	34893598
Altar1	Alternaria arborescens BMP0308	2	156630	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria arborescens	NA
Altbr1	Alternaria brassicicola	0	29001	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria brassicicola	23236275
Altca1	Alternaria capsici BMP0180	1	283357	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria capsici	NA
Altcar1	Alternaria carthami BMP1963	1	157258	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria carthami	NA
Altci1	Alternaria citriarbusti BMP2343	1	232505	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria citriarbusti	NA
Altcr1	Alternaria crassa BMP0172	1	119918	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria crassa	NA
Altda1	Alternaria dauci BMP0167	1	48095	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria dauci	NA
Altfr1	Alternaria fragaria BMP3062	1	291290	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria sp. 'fragaria'	NA
Altga1	Alternaria gaisen BMP2338	1	167740	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria gaisen	NA
Altli1	Alternaria limoniasperae BMP2335	1	232503	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria limoniasperae	NA
Altlo1	Alternaria longipes BMP0313	1	160389	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria longipes	NA
Altma1	Alternaria macrospora BMP1949	1	119921	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria macrospora	NA
Altpo1	Alternaria porri BMP0178	1	48098	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria porri	NA
Altro1	Alternaria rosae MPI-PUGE-AT-0040 v1.0	1	1187941	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria rosae	34893598
Altso1	Alternaria solani BMP0185	1	48100	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria solani	NA
Altsp012_1	Alternaria sp. UNIPAMPA012 v1.0	1	1715220	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria sp.	NA
Altsp017_1	Alternaria sp. UNIPAMPA017 v1.0	0	5598	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA	NA
Altta1	Alternaria tangelonis BMP2327	1	232506	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tangelonis	NA
Altte1	Alternaria tenuissima BMP0304	1	119927	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tenuissima	NA
Alttom1	Alternaria tomatophila BMP2032	1	378261	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tomatophila	NA
Amaapr1	Amanita muscaria var. formosa 2016PMI152 v1.0	0	188876	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita muscaria	NA
Amal3063	Alternaria mali BMP3063	1	167741	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria mali	NA
